id,tenant_id,school_id,name,grade,school_year,shift,teacher_id,created_at,updated_at,demo_data
2d5c2126-b3e1-499c-a42f-28fc5b482cb6,07cc7290-5d3f-421b-a514-b21d6a683494,ed125660-02fa-4732-9e4a-cfb6ba040913,6º Ano A,6º Ano,,morning,,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t
db9e5ccc-f3d9-41b6-9adf-2ebaa1d9c283,07cc7290-5d3f-421b-a514-b21d6a683494,71cc3972-63e5-470e-b6fe-f7282bb082e3,6º Ano B,6º Ano,,morning,,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t
198f8843-c411-4d10-bc14-21142a59c69d,07cc7290-5d3f-421b-a514-b21d6a683494,14f33684-d772-4f54-9128-43195d790f3a,7º Ano A,7º Ano,,morning,,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t
3d9c94c7-2fe4-44e3-88b4-dcfa0a656e75,07cc7290-5d3f-421b-a514-b21d6a683494,ed125660-02fa-4732-9e4a-cfb6ba040913,7º Ano B,7º Ano,,morning,,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t
a41bdeea-4193-4142-a090-727b70dd9f16,07cc7290-5d3f-421b-a514-b21d6a683494,71cc3972-63e5-470e-b6fe-f7282bb082e3,8º Ano A,8º Ano,,morning,,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t
014c1331-0acd-4e6a-b880-df8da0af4fea,07cc7290-5d3f-421b-a514-b21d6a683494,14f33684-d772-4f54-9128-43195d790f3a,9º Ano A,9º Ano,,morning,,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t
d5f63646-432f-4cdf-866f-b68b0273e056,07cc7290-5d3f-421b-a514-b21d6a683494,ed125660-02fa-4732-9e4a-cfb6ba040913,1º EM A,1º Ano EM,,morning,,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t
1ebcd8e5-851e-48fb-b8b3-88ca95a326b7,07cc7290-5d3f-421b-a514-b21d6a683494,71cc3972-63e5-470e-b6fe-f7282bb082e3,2º EM A,2º Ano EM,,morning,,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t
df7d4151-8c32-4eea-bca8-7df20787ab0a,07cc7290-5d3f-421b-a514-b21d6a683494,14f33684-d772-4f54-9128-43195d790f3a,3º EM A,3º Ano EM,,morning,,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t
2fa6150f-347f-4b8a-8176-7e2e33efdf49,82728988-d739-4851-8718-cb574126d861,3de28fa3-da50-4af0-aad4-13befa61ae82,8º Ano 2,,,,,2026-06-22 12:40:13.946196+00,2026-06-22 12:40:13.946196+00,f
aed45503-8f7b-4268-bcf8-117194b396a6,82728988-d739-4851-8718-cb574126d861,3de28fa3-da50-4af0-aad4-13befa61ae82,6º Ano,,,,,2026-07-02 12:49:53.258546+00,2026-07-02 12:49:53.258546+00,f
f5f61e67-0704-4085-9edd-d3d3fe4063c3,82728988-d739-4851-8718-cb574126d861,3de28fa3-da50-4af0-aad4-13befa61ae82,8º Ano 1,,,,,2026-07-02 12:49:57.602067+00,2026-07-02 12:49:57.602067+00,f
09c03682-dbe6-4f7a-9891-64affd9a49f4,82728988-d739-4851-8718-cb574126d861,3de28fa3-da50-4af0-aad4-13befa61ae82,7º Ano,,,,,2026-07-02 12:50:00.496132+00,2026-07-02 12:50:00.496132+00,f
c67a18f9-ed10-4e8b-b5ba-1108265cf2bc,82728988-d739-4851-8718-cb574126d861,3de28fa3-da50-4af0-aad4-13befa61ae82,9º Ano,9º Ano,2026,morning,,2026-07-02 12:50:04.884453+00,2026-09-10 09:44:57.115516+00,f
