id,tenant_id,student_id,evaluator_id,evaluated_at,age_years,weight_kg,height_cm,wingspan_cm,waist_cm,hip_cm,imc,rce,sit_and_reach_cm,abdominal_reps,horizontal_jump_cm,medicine_ball_m,square_test_s,sprint_20m_s,run_6min_m,classifications,ai_diagnosis,notes,created_at,updated_at,ai_technical,ai_family,ai_goals,demo_data
7ae050db-b4f2-45d7-a92e-0b0536ba2928,07cc7290-5d3f-421b-a514-b21d6a683494,d15c5e7b-ae98-4cf6-82c5-12aab35e33f3,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2025-09-19,11,35.30,141.00,140.00,57.50,,17.76,0.408,29.00,35,169.00,4.20,6.45,3.84,1130.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Razoável"", ""jump"": ""Muito Bom"", ""run6"": ""Bom"", ""mball"": ""Bom"", ""sprint"": ""Muito Bom"", ""square"": ""Razoável""}",Performance acima da média da turma. Indicado encaminhamento para grupo de alto rendimento.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
15f18edd-5785-49d1-b8fe-c18a73f01cca,07cc7290-5d3f-421b-a514-b21d6a683494,d15c5e7b-ae98-4cf6-82c5-12aab35e33f3,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-01-19,11,36.50,141.80,140.80,57.10,,18.15,0.403,30.50,38,175.00,4.50,6.30,3.76,1190.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Bom"", ""jump"": ""Excelente"", ""run6"": ""Bom"", ""mball"": ""Muito Bom"", ""sprint"": ""Muito Bom"", ""square"": ""Bom""}",Pequenas oscilações em provas de velocidade — focar trabalho técnico de saída e aceleração.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
3c675838-5a6c-4f64-b84c-7a4e3312ff42,07cc7290-5d3f-421b-a514-b21d6a683494,d15c5e7b-ae98-4cf6-82c5-12aab35e33f3,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-05-19,12,37.70,142.60,141.60,56.70,,18.54,0.398,32.00,41,181.00,4.80,6.15,3.68,1250.00,"{""imc"": ""Excelente"", ""rce"": ""Razoável"", ""abdo"": ""Muito Bom"", ""flex"": ""Bom"", ""jump"": ""Excelente"", ""run6"": ""Bom"", ""mball"": ""Muito Bom"", ""sprint"": ""Muito Bom"", ""square"": ""Bom""}",Indicadores de saúde estáveis. Continuar reforço de treinos funcionais e mobilidade.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
08b72a3b-5b1d-4c33-b3f1-2acdbf2217a3,07cc7290-5d3f-421b-a514-b21d6a683494,dc1c45c0-2c0b-4dd8-a9a8-49ad32abf1d1,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2025-09-19,10,34.60,139.00,139.00,57.00,,17.91,0.410,30.00,36,170.00,4.30,6.50,3.88,1140.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Muito Bom"", ""jump"": ""Muito Bom"", ""run6"": ""Bom"", ""mball"": ""Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Pequenas oscilações em provas de velocidade — focar trabalho técnico de saída e aceleração.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
e3ec1eb7-0393-477c-b904-3ef2fe1a0d0b,07cc7290-5d3f-421b-a514-b21d6a683494,dc1c45c0-2c0b-4dd8-a9a8-49ad32abf1d1,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-01-19,10,35.80,139.80,139.80,56.60,,18.32,0.405,31.50,39,176.00,4.60,6.35,3.80,1200.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Excelente"", ""jump"": ""Muito Bom"", ""run6"": ""Bom"", ""mball"": ""Muito Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Indicadores de saúde estáveis. Continuar reforço de treinos funcionais e mobilidade.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
db56d757-1a9f-4186-bab7-53bc7dd7bbda,07cc7290-5d3f-421b-a514-b21d6a683494,dc1c45c0-2c0b-4dd8-a9a8-49ad32abf1d1,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-05-19,11,37.00,140.60,140.60,56.20,,18.72,0.400,33.00,42,182.00,4.90,6.20,3.72,1260.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Excelente"", ""jump"": ""Muito Bom"", ""run6"": ""Bom"", ""mball"": ""Muito Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Boa adesão ao programa. Sugere-se ampliar volume de corrida contínua para melhorar VO2.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
0fde0789-373b-4dd5-8580-ad29d740c553,07cc7290-5d3f-421b-a514-b21d6a683494,1abf9685-0382-4abd-b2fd-216fbe095ac8,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2025-09-19,12,41.90,148.00,149.00,61.00,,19.13,0.412,31.00,37,171.00,4.40,6.55,3.92,1150.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Razoável"", ""jump"": ""Muito Bom"", ""run6"": ""Razoável"", ""mball"": ""Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Indicadores de saúde estáveis. Continuar reforço de treinos funcionais e mobilidade.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
c931fa39-c1a6-4135-b360-aa9b6f35d4d9,07cc7290-5d3f-421b-a514-b21d6a683494,1abf9685-0382-4abd-b2fd-216fbe095ac8,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-01-19,12,43.10,148.80,149.80,60.60,,19.47,0.407,32.50,40,177.00,4.70,6.40,3.84,1210.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Bom"", ""jump"": ""Excelente"", ""run6"": ""Bom"", ""mball"": ""Muito Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Boa adesão ao programa. Sugere-se ampliar volume de corrida contínua para melhorar VO2.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
803a0c91-a40b-45ef-aa73-f5a23e4b9373,07cc7290-5d3f-421b-a514-b21d6a683494,1abf9685-0382-4abd-b2fd-216fbe095ac8,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2026-05-19,13,44.30,149.60,150.60,60.20,,19.79,0.402,34.00,43,183.00,5.00,6.25,3.76,1270.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Excelente"", ""flex"": ""Bom"", ""jump"": ""Excelente"", ""run6"": ""Bom"", ""mball"": ""Muito Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Atenção ao IMC: orientar família sobre hábitos alimentares e manter monitoramento trimestral.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
556219e5-ec68-4126-b495-d406a3354cf0,07cc7290-5d3f-421b-a514-b21d6a683494,ee9c16fc-d8dc-4291-909a-9ffaac5b3717,6496fb6b-7c93-4bc8-bb5e-a666ffdae72e,2025-09-19,11,42.20,147.00,149.00,60.50,,19.53,0.412,28.00,38,172.00,4.50,6.40,3.80,1160.00,"{""imc"": ""Excelente"", ""rce"": ""Excelente"", ""abdo"": ""Muito Bom"", ""flex"": ""Bom"", ""jump"": ""Muito Bom"", ""run6"": ""Bom"", ""mball"": ""Bom"", ""sprint"": ""Bom"", ""square"": ""Razoável""}",Boa adesão ao programa. Sugere-se ampliar volume de corrida contínua para melhorar VO2.,,2026-06-19 09:12:14.107688+00,2026-06-19 20:55:38.136676+00,,,,t
